"stop_id,C,254","stop_name,C,254","stop_lat,N,24,15","stop_lon,N,24,15","location_t,N,10,0","parent_sta,C,254","trip_count,N,2,0","trip_ids,C,251","route_ids,C,254","route_nams,C,109",subcounty,distance_from_cbd_km
0701FGK,Full Gospel Church/Kiruria,-1.298426,36.752382,0,,1,7004W111,70500004W11,4W,Dagoretti,7.341171745343351
0700IER,Riverlands,-1.292579538,36.75110221,0,,1,70103110,70000010311,103,Dagoretti,7.361168818658093
0600ATS,Coast,-1.288254261,36.75060868,0,,1,60046110,60200004611,46K,Dagoretti,7.364218370311376
0601COA,Coast,-1.28824,36.750481,0,,1,60046111,60200004611,46K,Dagoretti,7.378255460978601
0700GEH,Gerick House,-1.29786,36.751375,0,,1,7004W110,70500004W11,4W,Dagoretti,7.43626834140917
0701SMA,Salama,-1.287654984,36.74909001,0,,1,7046P111,70805046P10,046P,Dagoretti,7.528037756147151
0603COP,Co-Op Bank,-1.287534,36.748843,0,,1,60046111,60200004611,46K,Dagoretti,7.554597031289071
0711SEN,Wanyee Cross,-1.297196746,36.7500025,0,,1,7004W111,70500004W11,4W,Dagoretti,7.569907430985562
0701ITE,Githembe,-1.297525,36.750053,0,,1,7004W111,70500004W11,4W,Dagoretti,7.571935251850199
0701GHS,Good Samaritan High School,-1.296923,36.749861,0,,1,7004W111,70500004W11,4W,Dagoretti,7.579179863381299
0711WST,Wanyee Stage,-1.295965,36.749176,0,,1,7004W111,70500004W11,4W,Dagoretti,7.633493794555386
0710WSE,Wanyee Stage,-1.296275,36.749208,0,,1,7004W110,70500004W11,4W,Dagoretti,7.636419173851287
0700LHI,Midhill,-1.291715866,36.74816787,0,,1,70103110,70000010311,103,Dagoretti,7.672043313086285
0710RLU,Rusinga School,-1.28726336355612,36.7477360367775,0,,1,7046P111,70805046P10,046P,Dagoretti,7.675649563404968
0701BPS,Bumps,-1.295017,36.748142,0,,1,7004W111,70500004W11,4W,Dagoretti,7.728083940503191
0710KYJ,Kinyanjui,-1.291539,36.747569,0,,4,70002110 70003110 70102110 70103110,70601000211 70000000311 70600010211 70000010311,2 3U/3 102 103,Dagoretti,7.735783504449595
0701KJI,Kinyanjui,-1.291633844,36.74744368,0,,4,70002111 70003111 70102111 70103111,70601000211 70000000311 70600010211 70000010311,2 3U/3 102 103,Dagoretti,7.7508669116207
0700JLD,Joyland,-1.294837,36.74762,0,,1,7004W110,70500004W11,4W,Dagoretti,7.781977125614839
0711JDO,Joyland,-1.29480958,36.74751878,0,,1,7004W111,70500004W11,4W,Dagoretti,7.7925765279128205
0700KII,Kinangiti,-1.291195518,36.74689651,0,,1,70103110,70000010311,103,Dagoretti,7.805653631242672
0710GON,Congo,-1.28660506,36.74637616,0,,1,7046P111,70805046P10,046P,Dagoretti,7.8228338447387
0611SOK,Sokoni,-1.286301,36.745661,0,,1,60046111,60200004611,46K,Dagoretti,7.9007652355259355
0610SOK,Sokoni,-1.286322,36.745633,0,,1,60046110,60200004611,46K,Dagoretti,7.903973101848733
0710SIN,Sugoini,-1.290394,36.745712,0,,4,70002110 70003110 70102110 70103110,70601000211 70000000311 70600010211 70000010311,2 3U/3 102 103,Dagoretti,7.9271910201127165
0711SGO,Sugoini,-1.290421486,36.74558759,0,,4,70002111 70003111 70102111 70103111,70601000211 70000000311 70600010211 70000010311,2 3U/3 102 103,Dagoretti,7.941256203166103
0710TOS,Coast,-1.285360515,36.74435914,0,,1,7046P111,70805046P10,046P,Dagoretti,8.041750943865512
0700HSN,Shimonne,-1.289623743,36.74454153,0,,1,70103110,70000010311,103,Dagoretti,8.048780825009764
0701JCR,Kinyanjui Primary School,-1.294240952,36.74494922,0,,1,7004W111,70500004W11,4W,Dagoretti,8.064750396095157
0700JER,Kinyanjui Primary,-1.29406929,36.74490094,0,,1,7004W110,70500004W11,4W,Dagoretti,8.067209168542819
0700MDA,Mutindwa,-1.295185,36.744944,0,,1,7004W110,70500004W11,4W,Dagoretti,8.081779792941333
0701MTW,Mutindwa,-1.2952,36.744798,0,,1,7004W111,70500004W11,4W,Dagoretti,8.098064877916576
0710IOS,Sokoni,-1.284655452,36.74363494,0,,1,7046P111,70805046P10,046P,Dagoretti,8.120426589744957
0700MSK,Mlangosoko,-1.28866,36.743186,0,,4,70002110 70003110 70102110 70103110,70601000211 70000000311 70600010211 70000010311,2 3U/3 102 103,Dagoretti,8.190461070041563
0701NGD,Riruta Parish,-1.294471622,36.74359202,0,,1,7004W111,70500004W11,4W,Dagoretti,8.21776762598868
0700MMB,Riruta Parish,-1.29453063,36.74357593,0,,1,7004W110,70500004W11,4W,Dagoretti,8.220527294146164
0711MLK,Mlangosoko,-1.288554668,36.74290001,0,,4,70002111 70003111 70102111 70103111,70601000211 70000000311 70600010211 70000010311,2 3U/3 102 103,Dagoretti,8.22133489390657
0710SH4,46 Mwisho bus stage,-1.28393358,36.74259961,0,,1,7046P111,70805046P10,046P,Dagoretti,8.234458208902668
0613MWI,Kawangware Mwisho,-1.283934,36.742585,0,,2,60046110 60046111,60200004611 60200004611,46K 46K,Dagoretti,8.236082685185696
0710TAK,Bus Track Yard,-1.285191178,36.74160719,0,,1,7046P111,70805046P10,046P,Dagoretti,8.347072967613999
0701BPP,BP,-1.28770709,36.74168766,0,,4,70002111 70003111 70102111 70103111,70601000211 70000000311 70600010211 70000010311,2 3U/3 102 103,Dagoretti,8.349754628735543
0700BPS,BP,-1.287522,36.74159,0,,4,70002110 70003110 70102110 70103110,70601000211 70000000311 70600010211 70000010311,2 3U/3 102 103,Dagoretti,8.359420185503375
0700BID,Bidii,-1.287134653,36.74095273,0,,1,70103110,70000010311,103,Dagoretti,8.427883078888652
0710NWA,Kawangware,-1.287004352,36.74092054,0,,1,70003110,70000000311,3U/3,Dagoretti,8.43074267421804
0711ARK,Bus Track Yard,-1.286114573,36.7408669,0,,1,7046P110,70805046P10,046P,Dagoretti,8.432487845894029
0700STY,Jubilee,-1.295185089,36.74170375,0,,1,7004W110,70500004W11,4W,Dagoretti,8.437370130979838
071064A,46 AP Camp,-1.286678678,36.74031973,0,,1,70103110,70000010311,103,Dagoretti,8.495791390328684
0710DCD,Dagoretti CDF/APs' Camp,-1.286467,36.740158,0,,4,70002110 70003110 70102110 70103110,70601000211 70000000311 70600010211 70000010311,2 3U/3 102 103,Dagoretti,8.51275658077825
0700OAA,Kwa Mbao,-1.286319262,36.73985839,0,,1,70103110,70000010311,103,Dagoretti,8.545380942057928
0711PTE,AP Camp Dangoretti,-1.286358297,36.73983157,0,,1,7046P110,70805046P10,046P,Dagoretti,8.5485299935926
0700PBG,Precious Blood Girls' School,-1.285904,36.73926,0,,4,70002110 70003110 70102110 70103110,70601000211 70000000311 70600010211 70000010311,2 3U/3 102 103,Dagoretti,8.610194309639157
0701SAT,Riruta Baptist Church,-1.293768883,36.73949361,0,,1,7004W111,70500004W11,4W,Dagoretti,8.657618316405722
0711LSO,Precious Blood Girls Riruta,-1.285074681,36.73836172,0,,1,70003111,70000000311,3U/3,Dagoretti,8.70745775921015
0711III,Precious Girls' High School,-1.285074681,36.73835903,0,,1,70102111,70600010211,102,Dagoretti,8.707756724207433
0701PBG,Precious Blood Girls' School,-1.285110712,36.73816323,0,,2,70002111 70103111,70601000211 70000010311,2 103,Dagoretti,8.729607727913033
0711YQS,Krep/Equity/sidia,-1.284912944,36.73779845,0,,1,7046P110,70805046P10,046P,Dagoretti,8.769680245100123
0700KEQ,Sidia/Equity,-1.28474,36.737735,0,,2,70002110 70102110,70601000211 70600010211,2 102,Dagoretti,8.776368065470102
0700BTG,Wanjae Salon,-1.293237805,36.73829734,0,,1,7004W110,70500004W11,4W,Dagoretti,8.781818553066248
0701REU,Krep/Equity/Kwa Mumbi,-1.284515262,36.73768044,0,,2,70003111 70103111,70000000311 70000010311,3U/3 103,Dagoretti,8.782022180544535
0710MY/,Equity/Kwa Mumbi,-1.28416813,36.73758924,0,,1,70103110,70000010311,103,Dagoretti,8.791666177068464
0701KRE,KREP/Equity Bank,-1.284773,36.737551,0,,2,70002111 70102111,70601000211 70600010211,2 102,Dagoretti,8.79688564595426
0700EUI,Krep/Equity,-1.283581853,36.73735857,0,,2,70003110 70103110,70000000311 70000010311,3U/3 103,Dagoretti,8.81686058568902
0700IBI,Oilibya,-1.282600164,36.73714936,0,,1,70003110,70000000311,3U/3,Dagoretti,8.840447560054184
0700RSR,Ruasare,-1.28278411,36.73713863,0,,1,70103110,70000010311,103,Dagoretti,8.841475933211015
0701NVI,Naivasha/Naivasha Road Flat,-1.282605529,36.73703134,0,,2,70003111 70103111,70000000311 70000010311,3U/3 103,Dagoretti,8.853561486025477
0700MUL,Muslim,-1.28199,36.737025,0,,2,70003110 70103110,70000000311 70000010311,3U/3 103,Dagoretti,8.855154523482494
0711LH.,St. John College,-1.282059073,36.73685431,0,,1,7046P110,70805046P10,046P,Dagoretti,8.87400119150239
0701SJC,St. John College Riruta,-1.281709671,36.73683822,0,,2,70003111 70103111,70000000311 70000010311,3U/3 103,Dagoretti,8.876493851354121
0700SJL,St. John College,-1.281323433,36.73683822,0,,2,70003110 70103110,70000000311 70000010311,3U/3 103,Dagoretti,8.877470104752641
0700JNR,Kanjerere,-1.280541784,36.73635006,0,,1,70103110,70000010311,103,Dagoretti,8.934315466016443
0700NDU,Ndwaru,-1.279189,36.735985,0,,2,70003110 70103110,70000000311 70000010311,3U/3 103,Dagoretti,8.98133073941101
0701NDW,Ndwaru Road,-1.278984547,36.73587263,0,,2,70003111 70103111,70000000311 70000010311,3U/3 103,Dagoretti,8.994999121373638
0711WRA,Ndwaro,-1.279398322,36.7358458,0,,1,7046P110,70805046P10,046P,Dagoretti,8.995623305114997
0701RSP,Riruta Satellite Primary School,-1.29277,36.7363,0,,1,7004W111,70500004W11,4W,Dagoretti,8.995928374578902
0700RSP,Riruta Satellite Primary School,-1.29273,36.736172,0,,1,7004W110,70500004W11,4W,Dagoretti,9.009543662994995
0701RSF,Riverside Flats,-1.277584434,36.7357868,0,,2,70003111 70103111,70000000311 70000010311,3U/3 103,Dagoretti,9.014224184953507
0700AIC,AIC Riruta,-1.283999,36.735204,0,,2,70002110 70102110,70601000211 70600010211,2 102,Dagoretti,9.056638033978686
0700DRI,Riverside,-1.276743776,36.73527718,0,,1,70103110,70000010311,103,Dagoretti,9.077799841409831
0701KPY,Kaberia/Pc Kinyanjui Technical Training Institute,-1.29267,36.735423,0,,1,7004W111,70500004W11,4W,Dagoretti,9.091486070739933
0700FDI,Friends Paradise Inn/Kaberia,-1.292301,36.734704,0,,1,7004W110,70500004W11,4W,Dagoretti,9.166341092441165
0700CAH,Car Wash,-1.27615369,36.73437059,0,,1,70103110,70000010311,103,Dagoretti,9.183727480794833
0700KMH,Kwa Hospitali/Kaberia,-1.291912,36.734329,0,,1,7004W110,70500004W11,4W,Dagoretti,9.20319730626288
0700HVI,River Ridge School,-1.275876224,36.73408628,0,,1,70003110,70000000311,3U/3,Dagoretti,9.21793766376011
0701NSP,New Kaberia Supermarket,-1.291703,36.73409,0,,1,7004W111,70500004W11,4W,Dagoretti,9.2272498908615
0700KMJ,Kwa Maji/Kaberia,-1.291491,36.733927,0,,1,7004W110,70500004W11,4W,Dagoretti,9.242934004887129
0701SBR,Simpsons Bar And Rest,-1.291374,36.73369,0,,1,7004W111,70500004W11,4W,Dagoretti,9.26788920318394
0700UAS,Sudan,-1.275166637,36.73358738,0,,1,70103110,70000010311,103,Dagoretti,9.280561862925374
0700RCK,Redeemed Church Of Kenya/Kaberia,-1.291201,36.733467,0,,1,7004W110,70500004W11,4W,Dagoretti,9.29073241898427
